alert_id,customer_id,analyst_id,typology,alert_status,risk_score,alert_amount_inr,alert_gen_date,alert_closure_date,days_to_close,sla_days,sla_breached,alert_year,alert_month,alert_quarter,year_month,alert_source,jurisdiction_flag,str_reference,escalated_to_mlro,account_type,region,city,income_range,customer_risk_rating
ALT0000058,CUS000064,ANL015,Round-Tripping,Pending Review,16.83,124105.49,2022-11-13,,,20,,2022,11,Q4,2022-11,Watchlist Match,,,0,Savings,Central,Bhopal,5L-10L,Low
ALT0000059,CUS001776,ANL013,Dormant Account Reactivation,False Positive,2.25,272347.51,2024-05-22,2024-06-15,24.0,15,1.0,2024,5,Q2,2024-05,ML Anomaly Model,,,0,Savings,North,Amritsar,<2L,Medium
ALT0000060,CUS000337,ANL017,Structuring / Smurfing,False Positive,53.52,419884.4,2023-06-04,2023-06-07,3.0,20,0.0,2023,6,Q2,2023-06,Rule-Based Engine,,,0,Savings,South,Kochi,2L-5L,Very High
ALT0000061,CUS001997,ANL011,Round-Tripping,False Positive,61.92,1983.44,2023-06-20,2023-07-12,22.0,15,1.0,2023,6,Q2,2023-06,Manual Referral,,,0,Savings,Central,Raipur,2L-5L,High
ALT0000062,CUS000656,ANL015,PEP-Related Transaction,Escalated to MLRO,45.54,49208.27,2024-05-17,2024-06-10,24.0,20,1.0,2024,5,Q2,2024-05,Manual Referral,,,1,Current,West,Surat,5L-10L,Low
ALT0000063,CUS001681,ANL012,Round-Tripping,False Positive,57.89,1472193.42,2024-01-19,2024-02-16,28.0,15,1.0,2024,1,Q1,2024-01,Peer Comparison Model,,,0,Current,Central,Jabalpur,25L-50L,Medium
ALT0000064,CUS000511,ANL005,Unusual Cash Activity,False Positive,26.94,121488.32,2023-07-19,2023-08-03,15.0,10,1.0,2023,7,Q3,2023-07,Rule-Based Engine,,,0,Current,East,Kolkata,<2L,Low
ALT0000065,CUS001733,ANL016,Trade-Based Money Laundering,False Positive,96.32,51473.83,2024-03-24,2024-04-06,13.0,20,0.0,2024,3,Q1,2024-03,Watchlist Match,,,0,NRE,West,Pune,<2L,Medium
ALT0000066,CUS000790,ANL017,Dormant Account Reactivation,False Positive,96.13,21685.42,2023-02-22,2023-03-04,10.0,20,0.0,2023,2,Q1,2023-02,Watchlist Match,,,0,Savings,East,Ranchi,5L-10L,Medium
ALT0000067,CUS000254,ANL015,Unusual Cash Activity,Pending Review,86.28,34488.78,2024-04-26,,,20,,2024,4,Q2,2024-04,Rule-Based Engine,,,0,Savings,West,Surat,<2L,Medium
ALT0000068,CUS000870,ANL012,Round-Tripping,False Positive,85.02,1304862.96,2024-09-15,2024-10-09,24.0,15,1.0,2024,9,Q3,2024-09,ML Anomaly Model,,,0,NRO,North,Chandigarh,25L-50L,Low
ALT0000069,CUS000004,ANL001,Unusual Cash Activity,False Positive,39.79,576830.89,2023-01-02,2023-01-08,6.0,10,0.0,2023,1,Q1,2023-01,ML Anomaly Model,,,0,Current,Central,Jabalpur,5L-10L,High
ALT0000070,CUS001494,ANL017,Dormant Account Reactivation,False Positive,96.4,142839.53,2024-01-29,2024-02-17,19.0,20,0.0,2024,1,Q1,2024-01,Peer Comparison Model,,,0,Savings,North,Lucknow,5L-10L,Low
ALT0000071,CUS000594,ANL018,High-Risk Jurisdiction Transfer,Escalated to MLRO,46.63,392891.64,2024-09-17,2024-10-04,17.0,20,0.0,2024,9,Q3,2024-09,ML Anomaly Model,Panama,,1,Savings,East,Kolkata,10L-25L,High
ALT0000072,CUS000517,ANL016,Unusual Cash Activity,False Positive,17.18,54584.57,2023-06-04,2023-06-07,3.0,20,0.0,2023,6,Q2,2023-06,Watchlist Match,,,0,Savings,South,Bengaluru,10L-25L,Very High
ALT0000073,CUS001544,ANL014,Round-Tripping,False Positive,91.97,84724.3,2023-09-21,2023-10-16,25.0,15,1.0,2023,9,Q3,2023-09,Manual Referral,,,0,NRO,Central,Jabalpur,>50L,Medium
ALT0000074,CUS001808,ANL006,Suspected Mule Account,False Positive,13.37,253262.28,2023-12-07,2023-12-15,8.0,10,0.0,2023,12,Q4,2023-12,Rule-Based Engine,,,0,Fixed Deposit,East,Guwahati,10L-25L,Medium
ALT0000075,CUS000644,ANL001,Round-Tripping,True Positive — STR Filed,54.48,2273096.84,2024-03-26,2024-03-31,5.0,10,0.0,2024,3,Q1,2024-03,Peer Comparison Model,,STR-2024-2136,0,Current,South,Chennai,25L-50L,Low
ALT0000076,CUS001899,ANL006,Rapid Fund Movement,False Positive,69.82,5866.57,2022-10-10,2022-10-30,20.0,10,1.0,2022,10,Q4,2022-10,ML Anomaly Model,,,0,Fixed Deposit,East,Kolkata,2L-5L,High
ALT0000077,CUS001160,ANL011,Structuring / Smurfing,True Positive — STR Filed,62.47,27035.76,2022-09-01,2022-09-07,6.0,15,0.0,2022,9,Q3,2022-09,Peer Comparison Model,,STR-2022-6791,0,Current,East,Guwahati,5L-10L,Low
ALT0000078,CUS000450,ANL001,PEP-Related Transaction,True Positive — STR Filed,88.5,3240.14,2023-04-16,2023-04-22,6.0,10,0.0,2023,4,Q2,2023-04,Rule-Based Engine,,STR-2023-9409,0,NRE,Central,Bhopal,5L-10L,High
ALT0000079,CUS001428,ANL010,Structuring / Smurfing,False Positive,12.89,182563.57,2024-07-03,2024-07-26,23.0,15,1.0,2024,7,Q3,2024-07,Watchlist Match,,,0,Current,West,Mumbai,2L-5L,High
ALT0000080,CUS001179,ANL007,Shell Company Activity,Under Investigation,69.01,1168578.17,2022-11-28,,,10,,2022,11,Q4,2022-11,Rule-Based Engine,,,0,Savings,Central,Gwalior,2L-5L,Medium
ALT0000081,CUS001028,ANL001,Suspected Mule Account,False Positive,12.9,35157.54,2022-07-25,2022-07-30,5.0,10,0.0,2022,7,Q3,2022-07,Peer Comparison Model,,,0,Current,West,Mumbai,>50L,Low
ALT0000082,CUS001517,ANL017,Trade-Based Money Laundering,False Positive,70.54,15010.19,2023-03-16,2023-03-17,1.0,20,0.0,2023,3,Q1,2023-03,ML Anomaly Model,,,0,NRO,Central,Bhopal,2L-5L,Medium
ALT0000083,CUS001030,ANL005,Rapid Fund Movement,True Positive — STR Filed,99.58,92832.82,2024-11-07,2024-11-14,7.0,10,0.0,2024,11,Q4,2024-11,Peer Comparison Model,,STR-2024-4353,0,Current,North,Jaipur,2L-5L,Low
ALT0000084,CUS000896,ANL014,Suspected Mule Account,True Positive — STR Filed,3.01,63332.82,2024-03-31,2024-04-18,18.0,15,1.0,2024,3,Q1,2024-03,Manual Referral,,STR-2024-2832,0,Current,West,Nagpur,25L-50L,Low
ALT0000085,CUS001648,ANL013,Dormant Account Reactivation,Under Investigation,22.11,21156.29,2023-11-25,,,15,,2023,11,Q4,2023-11,Watchlist Match,,,0,NRE,North,Lucknow,2L-5L,Medium
ALT0000086,CUS000909,ANL014,Trade-Based Money Laundering,Under Investigation,61.22,21653.14,2022-04-17,,,15,,2022,4,Q2,2022-04,Manual Referral,,,0,NRE,East,Ranchi,10L-25L,Medium
ALT0000087,CUS001378,ANL010,Trade-Based Money Laundering,True Positive — STR Filed,20.63,91830.48,2022-11-26,2022-11-30,4.0,15,0.0,2022,11,Q4,2022-11,Rule-Based Engine,,STR-2022-5165,0,Savings,West,Surat,5L-10L,Low
ALT0000088,CUS001530,ANL009,Structuring / Smurfing,False Positive,38.95,57527.07,2024-03-07,2024-03-08,1.0,15,0.0,2024,3,Q1,2024-03,Watchlist Match,,,0,Savings,North,Lucknow,2L-5L,Very High
ALT0000089,CUS001911,ANL019,Rapid Fund Movement,False Positive,3.06,982795.19,2022-01-11,2022-01-12,1.0,30,0.0,2022,1,Q1,2022-01,Manual Referral,,,0,Savings,East,Bhubaneswar,25L-50L,Low
ALT0000090,CUS000252,ANL011,Dormant Account Reactivation,False Positive,32.92,14438.8,2022-07-06,2022-07-08,2.0,15,0.0,2022,7,Q3,2022-07,Rule-Based Engine,,,0,Current,East,Kolkata,2L-5L,Very High
ALT0000091,CUS000688,ANL010,Dormant Account Reactivation,False Positive,94.54,2443276.23,2022-10-25,2022-11-13,19.0,15,1.0,2022,10,Q4,2022-10,ML Anomaly Model,,,0,Current,West,Nagpur,2L-5L,Low
ALT0000092,CUS001325,ANL019,Trade-Based Money Laundering,True Positive — STR Filed,9.59,2159693.17,2024-08-23,2024-09-11,19.0,30,0.0,2024,8,Q3,2024-08,Peer Comparison Model,,STR-2024-1099,0,Current,Central,Indore,<2L,Low
ALT0000093,CUS000909,ANL001,Unusual Cash Activity,False Positive,57.31,562208.73,2024-06-10,2024-06-30,20.0,10,1.0,2024,6,Q2,2024-06,Watchlist Match,,,0,NRE,East,Ranchi,10L-25L,Medium
ALT0000094,CUS001052,ANL007,Suspected Mule Account,False Positive,83.65,3125291.8,2022-06-30,2022-07-06,6.0,10,0.0,2022,6,Q2,2022-06,Peer Comparison Model,,,0,NRO,Central,Gwalior,5L-10L,Medium
ALT0000095,CUS000160,ANL008,Structuring / Smurfing,False Positive,66.07,1127859.91,2022-05-12,2022-05-15,3.0,10,0.0,2022,5,Q2,2022-05,Manual Referral,,,0,Savings,West,Nagpur,10L-25L,High
ALT0000096,CUS000510,ANL011,Trade-Based Money Laundering,Pending Review,50.32,171138.19,2023-06-23,,,15,,2023,6,Q2,2023-06,Manual Referral,,,0,Fixed Deposit,Central,Jabalpur,5L-10L,Low
ALT0000097,CUS001159,ANL015,Dormant Account Reactivation,False Positive,23.5,146266.89,2023-03-31,2023-04-20,20.0,20,0.0,2023,3,Q1,2023-03,Peer Comparison Model,,,0,Savings,West,Surat,2L-5L,Medium
ALT0000098,CUS000367,ANL010,Structuring / Smurfing,True Positive — No STR,17.44,194580.46,2024-01-30,2024-02-12,13.0,15,0.0,2024,1,Q1,2024-01,Peer Comparison Model,,,0,Current,North,Jaipur,2L-5L,Low
ALT0000099,CUS001255,ANL007,PEP-Related Transaction,Under Investigation,59.58,12634.11,2022-06-13,,,10,,2022,6,Q2,2022-06,Rule-Based Engine,,,0,Overdraft,Central,Gwalior,2L-5L,High
ALT0000100,CUS001473,ANL003,Rapid Fund Movement,True Positive — No STR,77.63,165785.67,2022-03-19,2022-03-25,6.0,10,0.0,2022,3,Q1,2022-03,Peer Comparison Model,,,0,Current,West,Mumbai,10L-25L,High
ALT0000101,CUS000790,ANL014,Rapid Fund Movement,False Positive,44.53,10211802.5,2024-02-27,2024-03-13,15.0,15,0.0,2024,2,Q1,2024-02,Manual Referral,,,0,Savings,East,Ranchi,5L-10L,Medium
ALT0000102,CUS000692,ANL006,Unusual Cash Activity,False Positive,22.1,651922.3,2024-03-31,2024-04-02,2.0,10,0.0,2024,3,Q1,2024-03,Watchlist Match,,,0,Savings,West,Nagpur,2L-5L,Medium
ALT0000103,CUS000253,ANL019,PEP-Related Transaction,False Positive,1.99,215891.31,2024-12-03,2024-12-11,8.0,30,0.0,2024,12,Q4,2024-12,Peer Comparison Model,,,0,Savings,North,Delhi,2L-5L,Low
ALT0000104,CUS000335,ANL018,Structuring / Smurfing,Under Investigation,89.09,532603.34,2023-08-10,,,20,,2023,8,Q3,2023-08,Manual Referral,,,0,Savings,North,Delhi,2L-5L,High
ALT0000105,CUS000343,ANL019,PEP-Related Transaction,False Positive,83.68,316544.57,2022-04-28,2022-05-06,8.0,30,0.0,2022,4,Q2,2022-04,Watchlist Match,,,0,NRO,West,Ahmedabad,5L-10L,Low
ALT0000106,CUS000133,ANL010,Round-Tripping,False Positive,60.92,606206.56,2022-12-25,2022-12-31,6.0,15,0.0,2022,12,Q4,2022-12,ML Anomaly Model,,,0,NRE,Central,Jabalpur,5L-10L,Very High
ALT0000107,CUS001695,ANL011,High-Risk Jurisdiction Transfer,False Positive,73.08,760278.0,2024-10-09,2024-10-31,22.0,15,1.0,2024,10,Q4,2024-10,Manual Referral,British Virgin Islands,,0,NRO,East,Kolkata,25L-50L,Low
ALT0000108,CUS000184,ANL012,Unusual Cash Activity,False Positive,32.12,4163181.06,2024-06-18,2024-07-03,15.0,15,0.0,2024,6,Q2,2024-06,Watchlist Match,,,0,Savings,South,Kochi,>50L,Very High
ALT0000109,CUS000169,ANL003,Trade-Based Money Laundering,True Positive — STR Filed,18.84,27471.9,2022-01-22,2022-02-02,11.0,10,1.0,2022,1,Q1,2022-01,Watchlist Match,,STR-2022-9982,0,Savings,Central,Indore,<2L,Low
ALT0000110,CUS001677,ANL010,High-Risk Jurisdiction Transfer,False Positive,41.17,1474273.97,2023-02-18,2023-03-05,15.0,15,0.0,2023,2,Q1,2023-02,ML Anomaly Model,Seychelles,,0,Savings,Central,Bhopal,10L-25L,Very High
ALT0000111,CUS001306,ANL011,PEP-Related Transaction,Pending Review,76.71,75540.29,2024-11-27,,,15,,2024,11,Q4,2024-11,Rule-Based Engine,,,0,Savings,North,Lucknow,25L-50L,Low
ALT0000112,CUS000432,ANL013,Structuring / Smurfing,False Positive,57.0,2149813.27,2023-08-09,2023-08-18,9.0,15,0.0,2023,8,Q3,2023-08,Peer Comparison Model,,,0,Savings,South,Coimbatore,25L-50L,Medium
ALT0000113,CUS001163,ANL019,Suspected Mule Account,Escalated to MLRO,79.8,509104.13,2023-02-03,2023-02-06,3.0,30,0.0,2023,2,Q1,2023-02,Rule-Based Engine,,,1,Savings,North,Jaipur,5L-10L,High
ALT0000114,CUS001836,ANL006,Shell Company Activity,Under Investigation,18.15,282493.57,2022-03-10,,,10,,2022,3,Q1,2022-03,ML Anomaly Model,,,0,Savings,South,Coimbatore,5L-10L,Low
ALT0000115,CUS001223,ANL017,Structuring / Smurfing,False Positive,0.78,2042736.46,2024-11-11,2024-11-15,4.0,20,0.0,2024,11,Q4,2024-11,Manual Referral,,,0,Current,West,Ahmedabad,<2L,Medium
ALT0000116,CUS000835,ANL015,Rapid Fund Movement,False Positive,12.99,84279.52,2024-11-22,2024-11-27,5.0,20,0.0,2024,11,Q4,2024-11,Manual Referral,,,0,Savings,South,Kochi,25L-50L,Very High
ALT0000117,CUS000164,ANL017,Structuring / Smurfing,True Positive — STR Filed,68.69,357462.87,2023-04-20,2023-04-21,1.0,20,0.0,2023,4,Q2,2023-04,Watchlist Match,,STR-2023-5600,0,Savings,West,Ahmedabad,2L-5L,Medium
